seed,dim,transform,metric,ground_truth,r10,r100,rerank_r10
6,256,truncate,cosine,cosine,0.744,0.998,nan
6,256,center+truncate,ip,ip,0.453,0.932,0.932
6,256,center+truncate,ip,cosine,0.414,0.873,nan
6,256,center+truncate,cosine,ip,0.638,0.982,0.982
6,256,center+truncate,cosine,cosine,0.649,0.957,nan
6,384,truncate,ip,ip,0.534,0.966,0.966
6,384,truncate,ip,cosine,0.388,0.867,nan
6,384,truncate,cosine,ip,0.746,1.0,1.0
6,384,truncate,cosine,cosine,0.815,1.0,nan
6,384,center+truncate,ip,ip,0.497,0.947,0.947
6,384,center+truncate,ip,cosine,0.446,0.891,nan
6,384,center+truncate,cosine,ip,0.688,0.991,0.991
6,384,center+truncate,cosine,cosine,0.692,0.962,nan
6,512,truncate,ip,ip,0.649,0.995,0.995
6,512,truncate,ip,cosine,0.714,0.999,nan
6,512,truncate,cosine,ip,0.712,0.995,0.995
6,512,truncate,cosine,cosine,0.877,1.0,nan
6,512,center+truncate,ip,ip,0.519,0.951,0.951
6,512,center+truncate,ip,cosine,0.457,0.901,nan
6,512,center+truncate,cosine,ip,0.719,0.995,0.995
6,512,center+truncate,cosine,cosine,0.708,0.964,nan
6,768,truncate,ip,ip,1.0,1.0,1.0
6,768,truncate,ip,cosine,0.745,0.99,nan
6,768,truncate,cosine,ip,0.745,0.995,0.995
6,768,truncate,cosine,cosine,1.0,1.0,nan
6,768,center+truncate,ip,ip,0.514,0.951,0.951
6,768,center+truncate,ip,cosine,0.464,0.897,nan
6,768,center+truncate,cosine,ip,0.732,0.996,0.996
6,768,center+truncate,cosine,cosine,0.727,0.969,nan
7,128,truncate,ip,ip,0.294,0.738,0.738
7,128,truncate,ip,cosine,0.225,0.642,nan
7,128,truncate,cosine,ip,0.619,0.985,0.985
7,128,truncate,cosine,cosine,0.662,0.995,nan
7,128,center+truncate,ip,ip,0.408,0.909,0.909
7,128,center+truncate,ip,cosine,0.378,0.855,nan
7,128,center+truncate,cosine,ip,0.598,0.97,0.97
7,128,center+truncate,cosine,cosine,0.614,0.958,nan
7,192,truncate,ip,ip,0.33,0.789,0.789
7,192,truncate,ip,cosine,0.248,0.666,nan
7,192,truncate,cosine,ip,0.673,0.996,0.996
7,192,truncate,cosine,cosine,0.726,0.999,nan
7,192,center+truncate,ip,ip,0.46,0.926,0.926
7,192,center+truncate,ip,cosine,0.415,0.872,nan
7,192,center+truncate,cosine,ip,0.654,0.984,0.984
